文本,回忆,回忆次数,覆盖率,准确率,遗漏,错字,总字数
"这是一次令人印象深刻的展示，但是很快就清楚的是，他没有回答这个问题：如果事情有变或计划有变，谁将取代他的岗位，以及将会发生什么。 谁来监督他建立的机器，深入探究其问题所在，并持续改进或决定取消？", "这是一次令人印象深刻的展示 但是没有弄清楚 他没有回答这个问题 如果计划有 谁来替代他的位置 会发生什么事情谁来监督这台机器 谁来调整或者停止这台机器", 3, 0.678, 0.855, "很 快 就 变 变 将 取 岗 以 及 将 建 立 入 探 究 其 所 在 并 持 续 改 进 决 定 取 消", "弄 替 置 台 调 整 者 停 止 台", 87
"这是一次令人印象深刻的展示，但是很快就清楚的是，他没有回答这个问题：如果事情有变或计划有变，谁将取代他的岗位，以及将会发生什么。 谁来监督他建立的机器，深入探究其问题所在，并持续改进或决定取消？", "这是一次令人印象深刻的展示 但很快就清楚的是 如果事情有变或计划有变，谁来带其他的岗位探究到底发生了什么，谁来监督他的机器深入探究，其中的问题并持续改进或决定取消。", 4, 0.816, 0.934, "没 回 答 个 将 代 以 及 将 会 建 立 所 在", "带 到 底 了 中", 87
"这是一次令人印象深刻的展示，但是很快就清楚的是，他没有回答这个问题：如果事情有变或计划有变，谁将取代他的岗位，以及将会发生什么。 谁来监督他建立的机器，深入探究其问题所在，并持续改进或决定取消？", " 这是一次令人印象深刻的展示，但很快就清楚的是，他没有回答这个问题，如果事情有辩护，计划有变谁来代替他的岗位又会发生什么谁来监督他建立的机器深入探究，其中的问题并持续改进或决定取消。", 5, 0.908, 0.94, "将 以 及 将 所 在", "辩 护 替 又 中", 87
"我相信： 1.5 进化是生命最大的成就和最大的回报 进化是出于本能的，所以大多数人都会感觉到内心深处的这种动力，也就是说，我们本能地希望把事情做得更好，本能地创造和改进技术以帮助自己。", "我相信进化是生命最大的成目的 进化是出于本能的 所以我们每个人内心深处都有想把自己变得更好的动力 也就是说我们内心深处希望我们自己变得更好 希望用工具和技术来帮助自己", 1, 0.85, 0.861, "回 报 多 数 会 感 觉 到 这 种 地 事 情 做 地 创 造 改", "目 每 个 有 想 变 变 用 工 具 来", 80
"我相信： 1.5 进化是生命最大的成就和最大的回报 进化是出于本能的，所以大多数人都会感觉到内心深处的这种动力，也就是说，我们本能地希望把事情做得更好，本能地创造和改进技术以帮助自己。", "我相信  进化是生命的最大成就和最大回报  进化是本能的需求 所以我们内心深处都有一种动力来改善自己 我们会改善自己....  用工具来提升自己", 2, 0.588, 0.783, "出 于 多 数 人 感 觉 到 这 也 说 地 希 望 把 事 情 做 得 更 好 地 创 造 技 术 帮 助", "需 求 有 一 来 善 善 用 工 具 来 提 升", 80
"我相信： 1.5 进化是生命最大的成就和最大的回报 进化是出于本能的，所以大多数人都会感觉到内心深处的这种动力，也就是说，我们本能地希望把事情做得更好，本能地创造和改进技术以帮助自己。", "我相信进化是生命最大的成就和最大的回报进化，是出于本能的，所以我们大多数人可以感受到内心深处的动力，我们本能地想把事情做好本能的想创造和利用技术来帮助自己。", 3, 0.838, 0.905, "都 会 觉 这 种 也 说 希 望 得 更 改", "可 受 想 想 利 用 来", 80
"我相信： 1.5 进化是生命最大的成就和最大的回报 进化是出于本能的，所以大多数人都会感觉到内心深处的这种动力，也就是说，我们本能地希望把事情做得更好，本能地创造和改进技术以帮助自己。", "我相信进化是生命的最大成就和最大回报 进化，是出于本能的，所以大多数人都能感受到内心深处的动力，我们本人的希望把事情做得更好，本人的创造和改进技术来帮助自己。", 4, 0.887, 0.973, "会 觉 这 种 也 说 地 地", "受 来", 80
"如果你期望员工在近期会比他们过去取得很大进步，你很可能犯了大错。 人们的行事习惯很可能继续，因为行为反映了他们是什么样的人。 由于人的变化通常很慢，你只能期待缓慢进步（最好的情况下）。", "如果你期待你的员工近期有很大的进步，那你犯了大错人的行为模式很可能继续，因为这是人的本性，你最好期待他们缓慢的进步 就是最好的情况。", 1, 0.646, 0.869, "望 在 会 比 过 去 取 得 事 习 惯 反 映 什 么 样 由 于 变 化 通 常 只 下", "有 那 模 式 这 本 性 就", 82
"如果你期望员工在近期会比他们过去取得很大进步，你很可能犯了大错。 人们的行事习惯很可能继续，因为行为反映了他们是什么样的人。 由于人的变化通常很慢，你只能期待缓慢进步（最好的情况下）。", "如果你期待你的员工近期比过去有很大的进步，那你很可能犯了大错人的行为习惯很可能继续，因为这形成了他的人格人的行为，习惯改变非常缓慢，你只能期待他缓慢进步最好的情况。", 2, 0.841, 0.896, "望 在 会 们 取 得 们 事 反 映 们 是 什 么 样 由 于 化 通 下", "有 那 这 形 成 格 改 非", 82
"如果你期望员工在近期会比他们过去取得很大进步，你很可能犯了大错。 人们的行事习惯很可能继续，因为行为反映了他们是什么样的人。 由于人的变化通常很慢，你只能期待缓慢进步（最好的情况下）。", "如果你期望你的员工在近期比过去有很大的进步，那么你很可能犯了大错 人的形式习惯通常会继续，因为这反映了，他是什么样的人人的行为，习惯的改变非常缓慢，通常你只能期待他缓慢的改变最好的情况。", 3, 0.951, 0.907, "们 取 得 们 事 们 由 于 化 下", "有 那 形 式 这 改 非 改", 82
"打比方说，你为两个最要好的朋友分别购买了一件生日礼物，其中一件比另一件贵，如果得到较便宜礼物的那个朋友指责你不够公平，你该说些什么呢？ 大概会这样说吧：“我不是非得送你礼物，你别抱怨了。”", "打比方说你给要好的两个朋友过生日，分别送了一件礼物，其中一件礼物比另一件贵 得到便宜礼物的朋友，指责你不够公平那你该怎么说呢？你大概会这样说我不是非得送你礼物，别抱怨了。", 1, 0.904, 0.962, "为 最 购 买 如 果 较 些 什 吧", "给 过 怎", 83
"打比方说，你为两个最要好的朋友分别购买了一件生日礼物，其中一件比另一件贵，如果得到较便宜礼物的那个朋友指责你不够公平，你该说些什么呢？ 大概会这样说吧：“我不是非得送你礼物，你别抱怨了。”", "打比方说你为你的两个要好的朋友送了一件生日礼物，其中一件比另一件贵，如果得到便宜礼物的那个人指责你不够公平你该说些什么呢，你大概会这样说，我不是非得送你礼物，别抱怨了。", 2, 0.928, 0.987, "最 分 购 买 较 吧", "人", 83
"如果操作得当，两个步骤的深挖可以在大约4小时内完成。 深挖要分别、独立进行，这点很重要，防止同时朝多个方向进行。 我来带着你过一遍深挖的流程，对每个步骤提供一些指导和案例。 第一步：列举问题。", "对两个问题的生化合并起来要4小时才能完成深挖要分别独立进行，避免同时向多个方向发展这点很重要，我来带你过一下深挖的基本流程，列举一些案例和指导第一步发现问题。", 1, 0.707, 0.784, "如 果 操 作 得 当 骤 可 以 在 大 约 内 防 止 朝 着 遍 每 骤 提 供", "生 化 合 并 起 才 能 避 免 发 展 下 基 本 发 现", 82
"如果操作得当，两个步骤的深挖可以在大约4小时内完成。 深挖要分别、独立进行，这点很重要，防止同时朝多个方向进行。 我来带着你过一遍深挖的流程，对每个步骤提供一些指导和案例。 第一步：列举问题。", "如果操作得当两个步骤的深挖大约可以在四小时内合并完成，深挖，要分别独立进行这点很重要，防止同时向多个方向挖掘，我来带你过一下深挖的流程，列举一些指导和问题第一步，列举问题。", 2, 0.902, 0.937, "朝 着 遍 对 每 提 供 案 例", "四 合 并 掘 下", 82
"因此，对我而言，从过去到现在，有意义的工作和有意义的人际关系都是我的主要目标，我做的一切事情都是为了实现这两个目标。 赚钱只是其附带结果。 20世纪70年代末，我开始把我对市场的观察通过电报发给客户。", "从过去到现在 有意义的工作和有意义的人际关系都是我的人生目标，我做一切事情都是为了这两个目标 赚钱只是其附带结果 20世纪七十年代，我开始把我对市场的观察用电报发给客户", 1, 0.849, 0.948, "因 此 而 言 主 要 实 末 通", "生 七 十 用", 86
"因此，对我而言，从过去到现在，有意义的工作和有意义的人际关系都是我的主要目标，我做的一切事情都是为了实现这两个目标。 赚钱只是其附带结果。 20世纪70年代末，我开始把我对市场的观察通过电报发给客户。", "因此，对我而言从过去到现在有意义的工作和有意义的人生关系都是我的目标，我一切的行为都是为了实现这两个主要目标 20世纪七十年代末，我开始把我对市场的观察用电报发给客户。", 2, 0.837, 0.935, "际 做 事 情 赚 钱 只 其 附 带 结 果 通", "生 行 七 十 用", 86
"因此，对我而言，从过去到现在，有意义的工作和有意义的人际关系都是我的主要目标，我做的一切事情都是为了实现这两个目标。 赚钱只是其附带结果。 20世纪70年代末，我开始把我对市场的观察通过电报发给客户。", "因此，对我而言有意义的工作和有意义的人际关系都是我的主要目标，我做的一切事情都是为了实现这两个目标赚钱只是其附带的结果20世纪七十年代末，我开始把我对市场的观察用电报发给客户。", 3, 0.919, 0.963, "从 过 去 到 在 通 过", "七 十 用", 86
"因此，对我而言，从过去到现在，有意义的工作和有意义的人际关系都是我的主要目标，我做的一切事情都是为了实现这两个目标。 赚钱只是其附带结果。 20世纪70年代末，我开始把我对市场的观察通过电报发给客户。", "因此，对我而言从过去到现在有意义的工作和有意义的人际关系都是我的主要目标，我做的一切事情都是为了实现这两个目标 赚钱，只是其附带的结果20世纪七十年代末，我开始通过电报，把我对市场的观察发给客户。", 4, 1.012, 0.978, "", "七 十", 86
"在回答这个问题之前，我想强调一下，我认为这两者都非常好，因为无论家庭还是团队都需要构建有意义的人际关系，而这两种人际关系与一般公司的一般工作是不一样的，一般的公司只会把人际关系当作功利的东西。", "在回答这个问题之前，我想强调一下，这两者都非常好，无论是家庭还是团队的人际关系都比一般公司的工作关系好很多一般公司都把这种人际关系看成功利的东西。", 1, 0.711, 0.928, "认 为 因 为 需 要 构 建 有 意 义 而 与 不 样 只 会 当", "比 很 多 看 成", 90
